date,open_time,open_price,ma200,deviation,up_target,sl_level,bounce_50,sl_hit,outcome,exit_time,exit_price,max_up_pts,max_dn_pts,session_high,session_low
2026-03-24,2026-03-24 09:30:00-04:00,24304.25,24350.68,0.1907,24354.25,24274.25,False,True,loss,2026-03-24 09:30:00-04:00,24274.25,13.25,77.25,24343.0,24134.0
2026-03-25,2026-03-25 09:30:00-04:00,24466.0,24417.65,-0.198,24516.0,24436.0,False,True,loss,2026-03-25 09:30:00-04:00,24436.0,12.5,40.0,24526.0,24327.5
2026-03-26,2026-03-26 09:30:00-04:00,24122.75,24268.12,0.599,24172.75,24092.75,False,True,loss,2026-03-26 09:30:00-04:00,24092.75,33.5,34.25,24242.5,24030.25
2026-03-27,2026-03-27 09:30:00-04:00,23564.0,23817.98,1.0664,23614.0,23534.0,True,False,win,2026-03-27 09:30:00-04:00,23614.0,100.0,7.25,23664.0,23440.0
2026-03-30,2026-03-30 09:30:00-04:00,23463.75,23326.16,-0.5899,23513.75,23433.75,True,False,win,2026-03-30 09:30:00-04:00,23513.75,74.5,6.25,23538.25,23262.25
2026-03-31,2026-03-31 09:30:00-04:00,23458.0,23266.56,-0.8228,23508.0,23428.0,False,True,loss,2026-03-31 09:30:00-04:00,23428.0,1.25,79.25,23587.75,23376.5
2026-04-01,2026-04-01 09:30:00-04:00,24157.5,24040.91,-0.485,24207.5,24127.5,False,True,loss,2026-04-01 09:30:00-04:00,24127.5,5.0,114.25,24282.0,24043.25
2026-04-02,2026-04-02 09:30:00-04:00,23789.0,23914.5,0.5248,23839.0,23759.0,False,True,loss,2026-04-02 09:35:00-04:00,23759.0,29.75,102.0,24266.75,23678.0
2026-04-06,2026-04-06 09:30:00-04:00,24354.75,24240.43,-0.4716,24404.75,24324.75,False,True,loss,2026-04-06 09:30:00-04:00,24324.75,15.5,91.25,24452.25,24245.75
2026-04-07,2026-04-07 09:30:00-04:00,24221.25,24272.2,0.2099,24271.25,24191.25,True,False,win,2026-04-07 09:30:00-04:00,24271.25,86.75,23.25,24308.0,23970.75
2026-04-08,2026-04-08 09:30:00-04:00,25163.5,25065.38,-0.3915,25213.5,25133.5,True,False,win,2026-04-08 09:30:00-04:00,25213.5,86.25,31.0,25249.75,24926.5
